Name,Alleged Sender,Category,Created,Legitamacy,Screenshot,Type
Out of storage,Dropbox,Online Service,"April 23, 2023 5:20 PM",Legitimate,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.20.00_pm.png,Email
Your account seems to be under attack again.,,Online Service,"April 23, 2023 5:23 PM",,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.23.56_pm.png,Email
Someone has been trying to access your account.,,Online Service,"April 23, 2023 5:23 PM",,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.23.06_pm.png,Email
You’ve received a new kind of report from the school.,,,"April 23, 2023 5:21 PM",,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.22.26_pm.png,Email
Page 3,,,"April 23, 2023 5:17 PM",Illegitimate,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.17.24_pm.png,Email
Page 2,,,"April 23, 2023 5:17 PM",,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.17.06_pm.png,Email
Page 1,,,"April 23, 2023 5:17 PM",,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.03.56_pm.png,Email
You’ve signed up for a travel planning service.,,,"April 23, 2023 5:24 PM",,Phishing%20Catalogue%200c7798f4033d4aa980fa51c09936188e/Screenshot_2023-04-23_at_5.24.47_pm.png,Email
